CVE,Date,CWE,Severity
CVE-2025-24413,2025-02-11T18:15:42.623,CWE-79,8.7
CVE-2025-24430,2025-02-11T18:15:45.787,CWE-367,3.7
CVE-2025-0904,2025-02-11T20:15:34.867,CWE-125,8.8
CVE-2025-1240,2025-02-11T22:15:29.800,CWE-787,8.8
CVE-2025-1230,2025-02-12T11:15:11.230,CWE-79,4.8
CVE-2025-26339,2025-02-12T14:15:33.510,CWE-306,9.8
CVE-2025-26356,2025-02-12T14:15:36.017,CWE-35,7.2
CVE-2025-26373,2025-02-12T14:15:38.360,CWE-862,6.5
CVE-2025-25349,2025-02-12T16:15:46.323,CWE-89,9.8
CVE-2025-25741,2025-02-12T18:15:28.293,CWE-121,5.4
CVE-2025-1227,2025-02-12T21:15:20.657,CWE-74;CWE-89,8.8
CVE-2025-0816,2025-02-13T07:15:11.353,CWE-20,6.5
CVE-2025-26562,2025-02-13T14:16:22.607,CWE-352,7.1
CVE-2025-25287,2025-02-13T16:16:49.187,CWE-79,4.7
CVE-2025-1127,2025-02-13T19:15:14.153,CWE-22;CWE-362,9.1
CVE-2025-26519,2025-02-14T04:15:09.050,CWE-787,8.1
CVE-2025-23474,2025-02-14T13:15:43.437,CWE-79,7.1
CVE-2025-23658,2025-02-14T13:15:45.900,CWE-79,7.1
CVE-2025-24558,2025-02-14T13:15:48.253,CWE-79,7.1
CVE-2025-1071,2025-02-14T14:15:32.560,CWE-79,4.8
CVE-2025-26506,2025-02-14T17:15:22.747,CWE-121,9.2
CVE-2025-0997,2025-02-15T02:15:09.377,CWE-416,8.1
CVE-2025-1352,2025-02-16T15:15:09.133,CWE-119,7.5
CVE-2025-22689,2025-02-16T23:15:10.330,CWE-79,6.5
CVE-2025-1371,2025-02-17T03:15:09.400,CWE-404;CWE-476,5.5
CVE-2025-23840,2025-02-17T12:15:27.973,CWE-79,7.1
CVE-2025-25222,2025-02-18T01:15:09.210,CWE-89,9.8
CVE-2025-1414,2025-02-18T14:15:28.670,CWE-787,6.5
CVE-2025-22650,2025-02-18T20:15:26.720,CWE-79,6.5
CVE-2025-26613,2025-02-18T21:15:29.607,CWE-78;CWE-284,9.8
CVE-2025-24928,2025-02-18T23:15:10.250,CWE-121,7.7
CVE-2025-0865,2025-02-19T08:15:21.853,CWE-352,6.5
CVE-2025-1426,2025-02-19T17:15:15.173,CWE-122,8.8
CVE-2025-25947,2025-02-19T23:15:15.850,CWE-665,5.5
CVE-2025-0868,2025-02-20T12:15:10.893,CWE-95,9.3
CVE-2025-25973,2025-02-20T18:15:26.713,CWE-79,6.5
CVE-2025-25668,2025-02-20T23:15:12.660,CWE-120,9.8
CVE-2025-1471,2025-02-21T10:15:11.413,CWE-787,7.8
CVE-2025-25507,2025-02-21T17:15:14.453,CWE-94,6.5
CVE-2025-25282,2025-02-21T21:15:23.590,CWE-639,N/A
CVE-2025-26750,2025-02-22T16:15:31.210,CWE-862,6.5
CVE-2025-1582,2025-02-23T12:15:08.470,CWE-74;CWE-89,9.8
CVE-2025-22631,2025-02-23T23:15:10.290,CWE-79,7.1
CVE-2025-1617,2025-02-24T04:15:09.277,CWE-79;CWE-94,2.4
CVE-2025-27276,2025-02-24T15:15:14.730,CWE-352,8.8
CVE-2025-27315,2025-02-24T15:15:17.047,CWE-352,4.3
CVE-2025-27340,2025-02-24T15:15:19.567,CWE-352,5.4
CVE-2025-26201,2025-02-24T17:15:14.460,CWE-294,9.1
CVE-2025-22974,2025-02-24T23:15:11.033,CWE-89,9.8
CVE-2025-1675,2025-02-25T08:15:30.020,CWE-125,9.1
CVE-2025-26896,2025-02-25T15:15:25.527,CWE-79,6.5
CVE-2025-26939,2025-02-25T15:15:27.883,CWE-79,6.5
CVE-2025-26975,2025-02-25T15:15:30.300,CWE-862,5.3
